"X","title","console","genre","critic_score","total_sales"
2232,"Blur","PS3","Racing",8.3,0.72
2233,"F1 2011","X360","Racing",8.5,0.72
2234,"Mx vs. ATV Reflex","X360","Racing",7.4,0.72
2237,"James Bond 007: Agent Under Fire","GC","Shooter",7.5,0.72
2239,"Rabbids Go Home","DS","Platform",8.8,0.72
2240,"Kirby: Canvas Curse","DS","Platform",8.9,0.72
2242,"Battlefield: Bad Company 2","PC","Shooter",8.8,0.72
2244,"James Cameron's Avatar: The Game","Wii","Action",5.9,0.72
2247,"Tiger Woods PGA Tour 07","PS2","Sports",7.8,0.72
2249,"Madden NFL 10","Wii","Sports",7.5,0.72
2250,"Madden NFL 08","PSP","Sports",7.3,0.71
2251,"Madden NFL 09","PSP","Sports",6.9,0.71
2253,"Blast Corps","N64","Action",9.1,0.71
2256,"Virtua Fighter 4: Evolution","PS2","Fighting",8.9,0.71
2257,"Mortal Kombat (2011)","PSV","Fighting",8.8,0.71
2260,"Godzilla: Destroy All Monsters Melee","GC","Fighting",7.5,0.71
2261,"Yu-Gi-Oh! The Falsebound Kingdom","GC","Strategy",4.4,0.71
2262,"The LEGO Movie Videogame","PS4","Action-Adventure",6,0.71
2264,"Astro Bot Rescue Mission","PS4","Platform",8.5,0.71
2265,"Spyro: Enter the Dragonfly","GC","Platform",5,0.71
2267,"Catherine","PS3","Puzzle",7.9,0.71
2268,"Conker: Live And Reloaded","XB","Action-Adventure",8.1,0.71
2269,"DiRT 3","X360","Racing",9.1,0.71
2271,"South Park","PS","Shooter",1.7,0.71
2272,"Doom 3: Resurrection of Evil","XB","Shooter",8.2,0.71
2273,"Plants vs Zombies: Garden Warfare","XOne","Shooter",7.6,0.71
2278,"LEGO Harry Potter: Years 1-4","PSP","Adventure",7.5,0.71
2280,"Monster Hunter 3 Ultimate","WiiU","Role-Playing",8.7,0.71
2287,"F-14 Tomcat","GBA","Action",6.9,0.7
2288,"Mafia","PS2","Action",6.5,0.7
2289,"Spider-Man 2","PSP","Action",6.4,0.7
2293,"TimeSplitters 2","PS2","Shooter",9.1,0.7
2295,"Driver: San Francisco","X360","Racing",8.1,0.7
2298,"The Sims: Medieval","PC","Simulation",7.2,0.7
2299,"LEGO Rock Band","Wii","Misc",6.8,0.7
2302,"Rocksmith 2014","PC","Music",9,0.7
2303,"Monster Hunter Stories","3DS","Role-Playing",8.1,0.7
2306,"RIFT","PC","Role-Playing",8.3,0.7
2307,"Jade Empire","XB","Role-Playing",9,0.7
2308,"Chocobo's Dungeon 2","PS","Role-Playing",6.2,0.7
2310,"Advance Wars","GBA","Strategy",9.4,0.7
2312,"Tony Hawk's Underground","GC","Sports",9,0.7
2313,"FIFA Soccer 11","DS","Sports",7,0.7
2316,"Ape Escape: On the Loose","PSP","Platform",6.6,0.7
2317,"Disney's Chicken Little","GBA","Platform",7.9,0.7
2320,"Ace Attorney Investigations: Miles Edgeworth","DS","Adventure",7.7,0.7
2323,"NHL 12","X360","Sports",8.8,0.7
2325,"Classic NES Series: Zelda II: The Adventure of Link","GBA","Adventure",6.6,0.7
2326,"Madden NFL 2005","GC","Sports",9.2,0.7
2327,"James Bond 007: Blood Stone","PS3","Action",6.2,0.7
2328,"Transformers: Revenge of the Fallen","PS3","Action",6.5,0.7
2331,"Mortal Kombat: Shaolin Monks","PS2","Action",8,0.69
2332,"MotionSports","X360","Sports",4.1,0.69
2335,"Rayman Legends","NS","Platform",4.5,0.69
2339,"Kirby's Dream Collection: Special Edition","Wii","Platform",8,0.69
2341,"The Sly Collection","PS3","Platform",8.7,0.69
2344,"Mario Party: The Top 100","3DS","Party",5,0.69
2345,"Dragon Ball Z: Budokai","GC","Fighting",6.8,0.69
2347,"Fortnite","NS","Shooter",8.5,0.69
2348,"Halo 2 Multiplayer Map Pack","XB","Shooter",8.6,0.69
2350,"Metal Gear Solid: Portable Ops Plus","PSP","Action",6.9,0.69
2353,"The Lord of the Rings: The Return of the King","GC","Action",8.7,0.69
2355,"Top Spin 4","PS3","Sports",8.2,0.69
2356,"X-Men Origins: Wolverine - Uncaged Edition","X360","Action",7.1,0.69
2357,"MX vs. ATV Unleashed: On the Edge","PSP","Racing",7.3,0.69
2359,"IL-2 Sturmovik: Birds of Prey","PS3","Simulation",8,0.69
2360,"The Evil Within","XOne","Misc",7.9,0.69
2368,"Bushido Blade 2","PS","Fighting",7.5,0.68
2372,"NHL 13","X360","Sports",8.2,0.68
2377,"Baldur's Gate: Dark Alliance II","PS2","Role-Playing",7.8,0.68
2378,"F1 2015","PS4","Racing",5.9,0.68
2379,".hack//Mutation Part 2","PS2","Role-Playing",7.5,0.68
2380,"Iron Man","PS3","Action",5.1,0.68
2381,"Star Wars: Masters of Teras Kasi","PS","Action",6.8,0.68
2383,"Rayman Legends","WiiU","Platform",9.5,0.68
2384,"Suikoden II","PS","Role-Playing",8.5,0.68
2392,"Test Drive Unlimited 2","X360","Racing",6.8,0.68
2393,"Hot Shots Golf: Open Tee 2","PSP","Sports",8,0.68
2397,"Madden NFL 10","PSP","Sports",8,0.67
2398,"Mass Effect","PC","Role-Playing",9.1,0.67
2399,"Diablo III: Eternal Collection","NS","Action",9,0.67
2402,"Contra: Legacy of War","PS","Shooter",6.5,0.67
2405,"100 Classic Books","DS","Misc",4,0.67
2408,"Unreal Tournament III","PS3","Shooter",8.6,0.67
2412,"Wild ARMs 2","PS","Role-Playing",6.5,0.67
2413,"Need for Speed: Shift 2 Unleashed","PS3","Racing",8.4,0.67
2414,"The Sims 3","DS","Simulation",7.5,0.67
2415,"Blazing Angels: Squadrons of WWII","PS3","Simulation",6.8,0.67
2417,"Call of Duty: Ghosts","PC","Shooter",8.8,0.67
2418,"Disney Infinity","WiiU","Action-Adventure",7.6,0.67
2419,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","GBA","Adventure",6.8,0.67
2425,"Napoleon: Total War","PC","Strategy",8.5,0.67
2426,"Spider-Man 3","PS3","Platform",6.6,0.67
2434,"Book of Spells","PS3","Misc",6.5,0.66
2437,"The Sims: Bustin' Out","GC","Simulation",7.9,0.66
2444,"Final Fantasy Crystal Chronicles: Ring of Fates","DS","Role-Playing",7.7,0.66
2446,"Suikoden IV","PS2","Role-Playing",6.3,0.66
2447,"Darkstone","PS","Role-Playing",6.7,0.66
2449,"Legend of Legaia","PS","Role-Playing",8.1,0.66
2451,"Command & Conquer: Red Alert 3","PC","Strategy",8.2,0.66
2453,"WWE SmackDown vs. RAW 2007","PSP","Fighting",7.8,0.66
2457,"London 2012: The Official Video Game of the Olympic Games","PS3","Sports",6.2,0.66
2462,"Shaun White Snowboarding","PS3","Sports",6,0.66
2465,"Fist of the North Star: Ken's Rage","PS3","Action",4.8,0.66
2466,"Castlevania: Lords of Shadow","X360","Action",7.9,0.66
2468,"Ratatouille","PSP","Platform",6.6,0.66
2469,"Disney's Kim Possible 2: Drakken's Demise","GBA","Platform",8.3,0.66
2470,"Madagascar","GC","Platform",6.8,0.66
2473,"2014 FIFA World Cup Brazil","PS3","Sports",7.9,0.66
2474,"NHL 13","PS3","Sports",8.3,0.66
2480,"NHL 10","X360","Sports",9.1,0.66
2482,"MX vs. ATV Untamed","PSP","Racing",5.6,0.65
2483,"F-Zero GX","GC","Racing",8.4,0.65
2489,"Wall-E","PSP","Platform",7.7,0.65
2490,"LEGO City Undercover","NS","Platform",8,0.65
2493,"Transformers: The Game","PSP","Action",4.3,0.65
2494,"Centipede","PS","Shooter",5.9,0.65
2499,"Scene It? Box Office Smash","X360","Misc",7.6,0.65
2501,"Advance Wars 2: Black Hole Rising","GBA","Strategy",8.8,0.65
2502,"007: Quantum of Solace","Wii","Shooter",5.6,0.65
2503,"Far Cry 4","PC","Shooter",8.5,0.65
2504,"Tiger Woods PGA Tour 09","PS3","Sports",8.5,0.65
2507,"Disney's Chicken Little","PS2","Platform",6.3,0.65
2509,"Harry Potter and the Goblet of Fire","PS2","Adventure",6.7,0.65
2511,"Drawn to Life: The Next Chapter","DS","Adventure",7.4,0.65
2516,"Dead or Alive 5","PS3","Fighting",7.6,0.65
2518,"Champions: Return to Arms","PS2","Role-Playing",7.7,0.65
2520,"Star Ocean: First Departure","PSP","Role-Playing",7.5,0.65
2522,"Tiger Woods PGA Tour 10","X360","Sports",8.3,0.65
2526,"Sengoku Basara: Samurai Heroes","PS3","Action",6.1,0.64
2527,"Real Heroes: Firefighter","Wii","Action",7.4,0.64
2529,"Dragon Ball: Raging Blast 2","X360","Fighting",6,0.64
2530,"X2: Wolverine's Revenge","PS2","Action",5.8,0.64
2534,"New Play Control! Pikmin","Wii","Strategy",7.7,0.64
2535,"Just Dance 2014","WiiU","Music",7.5,0.64
2536,"Max Payne 2: The Fall of Max Payne","XB","Shooter",8.6,0.64
2539,"Lost Planet: Extreme Condition","PS3","Shooter",6.3,0.64
2543,"Rayman 3D","3DS","Platform",6.3,0.64
2548,"Konami Collector's Series: Arcade Advanced","GBA","Misc",8,0.64
2549,"Castlevania","N64","Platform",7.6,0.64
2550,"Crash Bandicoot Purple: Ripto's Rampage","GBA","Platform",6.7,0.64
2555,"Rayman 2: The Great Escape","N64","Platform",9,0.64
2557,"Crash of the Titans","PSP","Action",6.3,0.64
2559,"Rock Band 3","Wii","Misc",9.2,0.64
2563,"Dead Island: Riptide","PS3","Action",6.6,0.64
2564,"The Lord of the Rings: Conquest","X360","Action",5.9,0.63
2565,"LEGO The Incredibles","NS","Action",6.5,0.63
2566,"Iron Man","PSP","Action",5,0.63
2567,"Sim Theme Park","PS","Strategy",8.5,0.63
2569,"Wolfenstein","PS3","Shooter",7.2,0.63
2570,"NieR","PS3","Role-Playing",6.6,0.63
2573,"Namco Museum","GC","Misc",5.3,0.63
2576,"Transformers: Revenge of the Fallen","X360","Action",6.1,0.63
2580,"Shin Megami Tensei: Persona 3 FES","PS2","Role-Playing",8.7,0.63
2582,"XCOM: Enemy Unknown","X360","Sports",8.8,0.63
2584,"Assassin's Creed IV: Black Flag","PC","Action-Adventure",8.5,0.63
2585,"A Bug's Life","N64","Platform",6.1,0.63
2587,"Ape Escape 2","PS2","Platform",8,0.63
2592,"The Sims 3: Generations","PC","Simulation",6.5,0.63
2593,"Dogz","GBA","Simulation",4.1,0.63
2598,"Test Drive Unlimited 2","PS3","Racing",6.9,0.63
2599,"LEGO Pirates of the Caribbean: The Video Game","3DS","Action",7,0.63
2602,"LEGO Star Wars II: The Original Trilogy","X360","Action",8.2,0.63
2604,"Condemned 2: Bloodshot","X360","Adventure",8.2,0.63
2605,"Tony Hawk's Project 8","PS3","Sports",7.9,0.63
2607,"X-Men Legends II: Rise of Apocalypse","PS2","Role-Playing",8.5,0.63
2608,"White Knight Chronicles II","PS3","Role-Playing",5.4,0.63
2609,"Dragon Age II","PC","Role-Playing",7.9,0.63
2611,"Disney Universe","PS3","Action",7.4,0.62
2616,"Madden NFL 07","GC","Sports",8.5,0.62
2619,"Viewtiful Joe","GC","Action",9.4,0.62
2621,"Wall-E","X360","Platform",5.3,0.62
2623,"Tomb Raider III: Adventures of Lara Croft","PC","Adventure",7.3,0.62
2624,"Phoenix Wright: Ace Attorney - Trials and Tribulations","DS","Adventure",7.9,0.62
2625,"Donkey Kong Barrel Blast","Wii","Racing",4.8,0.62
2626,"Beetle Adventure Racing!","N64","Racing",9.2,0.62
2627,"F1 2017","PS4","Racing",8,0.62
2633,"Start the Party!","PS3","Misc",6.1,0.62
2638,"NBA 2K9","PS3","Sports",8.3,0.62
2641,"Jak and Daxter: The Lost Frontier","PSP","Platform",7.5,0.62
2642,"Ghostbusters: The Video Game","X360","Action",7.7,0.62
2644,"Wet","PS3","Shooter",6.9,0.62
2648,"DJ Hero 2","Wii","Misc",8.7,0.62
2652,"Dragon Ball Z: Ultimate Tenkaichi","PS3","Fighting",5,0.62
2653,"Wild ARMs 3","PS2","Role-Playing",7.6,0.62
2654,"World of Final Fantasy","PS4","Role-Playing",6.7,0.62
2663,"Prince of Persia: The Forgotten Sands","X360","Action",7.5,0.62
2666,"Metal Gear Solid 2: Substance","XB","Action",8.7,0.62
2668,"Samurai Warriors 2","PS2","Action",5.6,0.61
2670,"Tony Hawk: RIDE","PS3","Sports",4.5,0.61
2671,"Advance Wars: Days of Ruin","DS","Strategy",8.4,0.61
2672,"New Play Control! Pikmin 2","Wii","Strategy",8.7,0.61
2674,"Half-Life 2","XB","Shooter",8.9,0.61
2675,"Metroid Prime: Trilogy","Wii","Shooter",9,0.61
2676,"Vanquish","PS3","Shooter",8.5,0.61
2684,"Game & Watch Gallery 4","GBA","Misc",6.4,0.61
2686,"Madden NFL 2002","GC","Sports",8.6,0.61
2704,"Sacred 2: Fallen Angel","PS3","Role-Playing",7.1,0.61
2705,"Final Fantasy IV Advance","GBA","Role-Playing",8.6,0.61
2707,"Harry Potter and the Goblet of Fire","GBA","Adventure",6,0.61
2710,"Pro Evolution Soccer 2011","X360","Sports",6,0.61
2712,"Tony Hawk: RIDE","X360","Sports",4.4,0.61
2713,"James Cameron's Avatar: The Game","PSP","Action",3.9,0.61
2714,"Dragon Ball Z: Buu's Fury","GBA","Action",5.9,0.61
2720,"Backyard Wrestling: Don't Try This at Home","PS2","Fighting",6,0.6
2722,"Fighters Uncaged","X360","Fighting",3.2,0.6
2729,"Rayman Arena","PS2","Racing",6.7,0.6
2732,"Secret Agent Clank","PS2","Platform",7,0.6
2733,"Split/Second","X360","Racing",8.4,0.6
2736,"PGR3 - Project Gotham Racing 3","X360","Racing",8.8,0.6
2739,"Suikoden","PS","Role-Playing",8.2,0.6
2743,"Transformers: The Game","X360","Action",5.2,0.6
2745,"Wave Race: Blue Storm","GC","Racing",8.4,0.6
2751,"NBA 2K7","X360","Sports",8.4,0.6
2752,"Ben 10: Alien Force","PSP","Action",5.2,0.6
2753,"Call of Juarez: Bound in Blood","X360","Shooter",7.6,0.6
2754,"Half-Life","PS2","Shooter",8.4,0.6
2759,"Medal of Honor: Frontline","GC","Shooter",8,0.59
2760,"Dead Space","PC","Shooter",8.8,0.59
2761,"Ready 2 Rumble Boxing","N64","Sports",7.8,0.59
2765,"NHL 11","PS3","Sports",8.8,0.59
2769,"Final Fantasy Explorers","3DS","Role-Playing",7.3,0.59
2770,"XCOM: Enemy Unknown","PS3","Strategy",9.1,0.59
2772,"Assassin's Creed: Brotherhood","PC","Action",8.7,0.59
2774,"Naruto: The Broken Bond","X360","Action",7.6,0.59
2778,"Asphalt: Urban GT","DS","Racing",5,0.59
2779,"Blur","X360","Racing",8.3,0.59
2780,"Transformers: War for Cybertron","X360","Action",7.3,0.59
2781,"Rock Band 2","PS2","Misc",7.9,0.59
2784,"Crash Bandicoot: The Wrath of Cortex","GC","Platform",6,0.59
2787,"Call of Duty: Black Ops","DS","Shooter",7,0.59
2789,"The Fight: Lights Out","PS3","Fighting",4.7,0.59
2791,"WarioWare D.I.Y.","DS","Misc",8.3,0.59
2793,"Harvest Moon: Friends of Mineral Town","GBA","Simulation",7.6,0.59
2794,"Alice: Madness Returns","PS3","Adventure",6.7,0.59
2795,"Silent Hill: Shattered Memories","PS2","Adventure",8,0.59
2798,"Metal Gear Solid V: Ground Zeroes","PS3","Action-Adventure",8.5,0.59
2799,"Skylanders: SuperChargers","WiiU","Action-Adventure",8,0.59
2800,"Kane & Lynch 2: Dog Days","PS3","Shooter",6.3,0.59
2802,"MLB 11: The Show","PS3","Sports",8.9,0.59
2803,"LEGO Indiana Jones 2: The Adventure Continues","PSP","Adventure",5.2,0.59
2804,"Dead or Alive Xtreme Beach Volleyball","XB","Sports",6.6,0.59
2805,"Madden NFL 06","X360","Sports",7.7,0.59
2810,"2002 FIFA World Cup","PS2","Sports",7.9,0.59
2811,"NHL 12","PS3","Sports",8.6,0.58
2815,"Tony Hawk's Pro Skater 4","GC","Sports",9.2,0.58
2816,"Disney Magic World 2","3DS","Simulation",7.5,0.58
2820,"Skate it","Wii","Sports",6.6,0.58
2821,"Call of Duty: Modern Warfare Remastered","PS4","Shooter",7.9,0.58
2825,"Doom 3 BFG Edition","PS3","Misc",6.8,0.58
2827,"F1 2013","PS3","Racing",7.7,0.58
2828,"Championship Motocross featuring Ricky Carmichael","PS","Racing",7.5,0.58
2831,"NCAA Football 10","PS2","Sports",8,0.58
2833,"Guitar Hero: Smash Hits","Wii","Misc",7.5,0.58
2836,"Deus Ex: Human Revolution","PC","Shooter",8.7,0.58
2838,"Contra: Shattered Soldier","PS2","Shooter",7.3,0.58
2840,"LEGO Worlds","NS","Misc",5,0.58
2844,"Disgaea 4: A Promise Unforgotten","PS3","Role-Playing",7.9,0.58
2845,"Diablo","PS","Role-Playing",8.3,0.58
2847,"Final Fantasy: The 4 Heroes of Light","DS","Role-Playing",7.2,0.58
2848,"Kirby and the Rainbow Curse","WiiU","Platform",8.2,0.58
2857,"Tenchu 2: Birth of the Stealth Assassins","PS","Action",8.5,0.58
2860,"Tom Clancy's HAWX","X360","Action",6.9,0.58
2869,"International Superstar Soccer '98","N64","Sports",9.1,0.58
2875,"Blacksite: Area 51","X360","Shooter",6.3,0.57
2882,"Tomb Raider: Anniversary","PSP","Action",7.7,0.57
2885,"StarCraft II: Legacy of the Void","PC","Strategy",8.8,0.57
2890,"Disney Universe","X360","Action",6.7,0.57
2892,"SpongeBob SquarePants: Battle for Bikini Bottom","XB","Platform",6.7,0.57
2893,"Spider-Man 3","X360","Platform",6,0.57
2896,"Beyond The Beyond","PS","Role-Playing",4.8,0.57
2900,"Rock Band 3","PS3","Misc",9.2,0.57
2902,"Trivial Pursuit","Wii","Misc",7.3,0.57
2907,"Madden NFL 06","GC","Sports",8.7,0.57
2908,"London 2012: The Official Video Game of the Olympic Games","X360","Sports",5.5,0.57
2909,"NHL 10","PS3","Sports",9.1,0.57
2912,"ATV Offroad Fury: Blazin' Trails","PSP","Racing",5.9,0.57
2915,"Resident Evil Outbreak File #2","PS2","Action",5.8,0.57
2917,"Starlink: Battle for Atlas","NS","Action-Adventure",7.5,0.57
2918,"BlazBlue: Calamity Trigger","PS3","Fighting",8.5,0.57
2919,"Ultra Street Fighter II: The Final Challengers","NS","Fighting",7,0.57
2921,"Top Spin 3","PS3","Sports",7.8,0.57
2924,"Harvest Moon: The Tale of Two Towns","DS","Simulation",6.3,0.57
2925,"Harvest Moon: Sunshine Islands","DS","Simulation",9,0.57
2926,"The Sims 3: World Adventures","PC","Simulation",8.2,0.57
2930,"FIFA World Cup Germany 2006","PS2","Sports",7.9,0.57
2931,"Warhammer 40,000: Space Marine","X360","Shooter",7.3,0.56
2932,"Battlefield 2: Modern Combat","XB","Shooter",7.5,0.56
2933,"The Lord of the Rings: The Return of the King","GBA","Role-Playing",7.4,0.56
2934,"Xenoblade Chronicles","3DS","Role-Playing",8.6,0.56
2941,"LEGO Rock Band","X360","Misc",7.3,0.56
2944,"NCAA Football 07","XB","Sports",8.8,0.56
2947,"Final Fantasy IV: The Complete Collection","PSP","Role-Playing",8,0.56
2949,"Top Spin 3","X360","Sports",8.1,0.56
2954,"Everybody's Golf","PS4","Sports",8.1,0.56
2955,"Tetris Party Deluxe","Wii","Puzzle",7.3,0.56
2959,"Wolfenstein","X360","Shooter",7.3,0.56
2963,"Blinx: The Time Sweeper","XB","Platform",6.8,0.56
2966,"True Crime: Streets of LA","GC","Action",8.1,0.56
2968,"Tom Clancy's HAWX","PS3","Action",7.5,0.56
2970,"Enslaved: Odyssey to the West","PS3","Action",7.9,0.56
2971,"No More Heroes","Wii","Action",8.2,0.56
2972,"Tony Hawk's Proving Ground","X360","Sports",7.2,0.56
2975,"The Incredible Hulk","GBA","Platform",6,0.56
2978,"Resident Evil 2","N64","Action",9,0.56
2980,"Need for Speed: Most Wanted","GC","Racing",8.4,0.56
2982,"MX 2002 Featuring Ricky Carmichael","PS2","Racing",8,0.56
2985,"Archer Maclean's Mercury","PSP","Puzzle",7.7,0.56
2988,"Barbie Groovy Games","GBA","Misc",3,0.56
2992,"Metroid: Samus Returns","3DS","Action-Adventure",9.1,0.56
2996,"Breath of Fire IV","PS","Role-Playing",8.4,0.56
2997,"Odin Sphere","PS2","Role-Playing",8,0.56
2999,"Tony Hawk's Project 8","PSP","Sports",6.3,0.56
3010,"Viva Pinata: Pocket Paradise","DS","Simulation",8.1,0.55
3011,"WWF Raw (2002)","XB","Fighting",6.5,0.55
3015,"MX vs. ATV: Alive","X360","Racing",6.9,0.55
3017,"Petz Catz Clan","DS","Simulation",5,0.55
3019,"Metal Gear Solid 3: Subsistence","PS2","Action",9.4,0.55
3022,"Ratchet & Clank: Quest for Booty","PS3","Platform",7.6,0.55
3023,"Poochy & Yoshi's Woolly World","3DS","Platform",7.5,0.55
3024,"Secret Agent Clank(US sales)","PSP","Platform",7.2,0.55
3026,"Shrek 2","XB","Platform",6.7,0.55
3027,"Donkey Kong Jungle Climber","DS","Platform",7.8,0.55
3033,"Project CARS 2","PS4","Racing",8.5,0.55
3037,"Batman: Vengeance","PS2","Adventure",7.1,0.55
3050,"Lunar: Silver Star Story Complete","PS","Role-Playing",7.6,0.55
3063,"Disgaea 3: Absence of Justice","PS3","Role-Playing",7.8,0.55
3068,"Tatsunoko vs. Capcom: Ultimate All-Stars","Wii","Fighting",8.3,0.54
3070,"Dragon Ball Z: Ultimate Tenkaichi","X360","Fighting",6,0.54
3073,"Tactics Ogre: Let Us Cling Together","PSP","Role-Playing",9,0.54
3075,"METRO 2033","X360","Shooter",7.4,0.54
3076,"Time Crisis: Razing Storm","PS3","Shooter",5.8,0.54
3077,"Just Dance 2015","XOne","Music",8.1,0.54
3078,"Sacred 2: Fallen Angel","X360","Role-Playing",7,0.54
3079,"Dragon Ball: Fusions","3DS","Role-Playing",6.3,0.54
3083,"Mario Tennis Ultra Smash","WiiU","Sports",6.1,0.54
3089,"Tiger Woods PGA Tour 11","Wii","Sports",8.3,0.54
3090,"NBA Live 10","PS3","Sports",7.9,0.54
3095,"Gauntlet Legends","N64","Action",6,0.54
3098,"Assassin's Creed II","PC","Action",8.5,0.54
3100,"Hotel Dusk: Room 215","DS","Adventure",8,0.54
3102,"Bulletstorm","PS3","Shooter",8.4,0.54
3104,"Manhunt 2","Wii","Action",5.8,0.54
3107,"Dynasty Warriors: Gundam 3","PS3","Action",6.5,0.54
3109,"Enslaved: Odyssey to the West","X360","Action",8,0.54
3111,"ModNation Racers","PSP","Racing",7.7,0.54
3114,"NBA Street Vol. 2","GC","Sports",8.8,0.54
3115,"SSX Tricky","GC","Sports",8.4,0.54
3117,"FIFA 07 Soccer","XB","Sports",8.1,0.54
3118,"Over the Hedge","PS2","Platform",6.5,0.54
3120,"The SpongeBob SquarePants Movie","XB","Platform",6.8,0.54
3122,"Bust A Groove","PS","Misc",7.7,0.54
3126,"The Sims 3: Pets","PC","Simulation",7.5,0.54
3130,"Valkyria Chronicles II","PSP","Role-Playing",8.1,0.54
3131,"Two Worlds II","X360","Role-Playing",6.5,0.54
3133,"Fire Emblem: Path of Radiance","GC","Role-Playing",8.6,0.54
3136,"X-Men Legends","GC","Role-Playing",8.6,0.53
3137,"Terminator Salvation","PS3","Shooter",5,0.53
3138,"Star Fox Command","DS","Shooter",7.2,0.53
3147,"Excite Truck","Wii","Racing",7,0.53
3149,"Ty the Tasmanian Tiger 2: Bush Rescue","PS2","Platform",7.3,0.53
3152,"Sonic & Sega All-Stars Racing Transformed","WiiU","Racing",6.9,0.53
3153,"F1 2018","PS4","Racing",8.9,0.53
3155,"F1 2009","PSP","Racing",7.4,0.53
3157,"007 Racing","PS","Racing",6.1,0.53
3159,"LEGO The Incredibles","PS4","Action",6.5,0.53
3168,"Clock Tower","PS","Adventure",6.1,0.53
3170,"Phoenix Wright: Ace Attorney - Justice for All","DS","Adventure",7.6,0.53
3178,"G-Force","DS","Action",7,0.53
3180,"Madden NFL 07","PS3","Sports",8,0.53
3182,"Wayne Gretzky's 3D Hockey","N64","Sports",8.1,0.53
3186,"Rune Factory: A Fantasy Harvest Moon","DS","Role-Playing",8.1,0.53
3189,"Blitz: The League","XB","Sports",7.9,0.53
3192,"Tom Clancy's Ghost Recon Advanced Warfighter 2","PSP","Shooter",6.5,0.53
3194,"Inazuma Eleven","DS","Role-Playing",6.8,0.53
3197,"F.E.A.R. 2: Project Origin","X360","Shooter",7.9,0.52
3201,"Harry Potter and the Prisoner of Azkaban","GBA","Adventure",7,0.52
3204,"Final Fantasy Chronicles","PS","Role-Playing",9.2,0.52
3205,"The 3rd Birthday","PSP","Role-Playing",7,0.52
3206,"Metal Gear Solid 2: Substance","PS2","Action",8.5,0.52
3208,"Fight Night Round 3","PSP","Fighting",7.2,0.52
3209,"Ready 2 Rumble Boxing: Round 2","PS","Fighting",6.5,0.52
3214,"Metal Gear Solid HD Collection","PS3","Action",9.1,0.52
3218,"Sesame Street: Once Upon A Monster","X360","Education",8,0.52
3219,"Seaman","DC","Simulation",8.1,0.52
3230,"Tiger Woods PGA Tour 11","X360","Sports",8.1,0.52
3231,"We Love Katamari","PS2","Puzzle",8.2,0.52
3239,"Silent Hill: Origins","PSP","Action",7.8,0.52
3244,"GT Pro Series","Wii","Racing",3.7,0.52
3245,"Cars 2","PS3","Racing",7.5,0.52
3249,"Way of the Samurai 3","PS3","Action",6.5,0.52
3251,"Mystery Dungeon: Shiren the Wanderer","DS","Role-Playing",7.1,0.52
3256,"Rune Factory 2: A Fantasy Harvest Moon","DS","Role-Playing",7.9,0.52
3257,"Spectrobes: Beyond the Portals","DS","Role-Playing",7.3,0.52
3258,"Alice in Wonderland","Wii","Adventure",6.3,0.51
3272,"DiRT Rally","PS4","Racing",8.3,0.51
3275,"Lair","PS3","Action",5.5,0.51
3276,"Dynasty Warriors","PSP","Action",6.6,0.51
3281,"Disney's Kim Possible: Revenge of Monkey Fist","GBA","Platform",5,0.51
3283,"Test Drive Unlimited","PSP","Racing",7.7,0.51
3284,"Prince of Persia Trilogy","PS3","Action",8.3,0.51
3286,"Ratatouille","PS3","Platform",5.2,0.51
3287,"Major League Baseball 2K10","X360","Sports",7.4,0.51
3288,"Pro Evolution Soccer 2010","Wii","Sports",8.1,0.51
3296,"The Saboteur","X360","Action",7.2,0.51
3298,"Fire Emblem Warriors","NS","Action",7.3,0.51
3304,"NBA Live 07","PSP","Sports",7,0.51
3306,"Madden NFL 2004","GC","Sports",9.2,0.51
3307,"Dragon Ball: Raging Blast","X360","Fighting",5.8,0.51
3308,"Dragon Ball Z: Supersonic Warriors","GBA","Fighting",7.1,0.51
3309,"SoulCalibur: Broken Destiny","PSP","Fighting",8,0.51
3311,"Bleach: Soul Resurreccion","PS3","Fighting",6.7,0.51
3312,"Halo Wars 2","XOne","Strategy",7,0.51
3314,"DC Universe Online","PS3","MMO",6.5,0.51
3315,"NHL 07","PS2","Sports",7.2,0.51
3321,"Goldeneye 007: Reloaded","X360","Shooter",7.4,0.5
3323,"Wet","X360","Shooter",6.9,0.5
3328,"Steel Diver","3DS","Action",5.6,0.5
3330,"Rock Band Unplugged","PSP","Misc",8,0.5
3333,"Madden NFL 07","Wii","Sports",8.2,0.5
3334,"NHL 09","X360","Sports",9,0.5
3339,"Pok<e9>mon Art Academy","3DS","Misc",7.8,0.5
3343,"Tactics Ogre: The Knight of Lodis","GBA","Role-Playing",8.5,0.5
3346,"Tiger Woods PGA Tour 07","PS3","Sports",8.1,0.5
3347,"Dragon Age: Origins","PC","Role-Playing",9.1,0.5
3348,"Burnout Revenge","X360","Racing",8.8,0.5
3352,"Picross DS","DS","Puzzle",8.4,0.5
3353,"Picross 3D","DS","Puzzle",8.7,0.5
3357,"Bully: Scholarship Edition","Wii","Action",8.4,0.5
3362,"Tony Hawk's Underground 2","GC","Sports",8.6,0.5
3365,"Avatar: The Last Airbender","GC","Adventure",5.5,0.5
3367,"Alice: Madness Returns","X360","Adventure",6.9,0.5
