"X","title","console","genre","critic_score","total_sales"
127,"Batman: Arkham Asylum","PS3","Action",9,4.28
128,"Call of Duty: Advanced Warfare","PS3","Shooter",9.1,4.27
130,"Assassin's Creed: Revelations","PS3","Action",8.8,4.23
131,"Assassin's Creed: Revelations","X360","Action",7.9,4.22
132,"FIFA Soccer 06","PS2","Sports",8.4,4.21
133,"Street Fighter IV","PS3","Fighting",9.3,4.19
134,"FIFA Soccer 12","X360","Sports",9.2,4.18
135,"Call of Duty: Ghosts","PS4","Shooter",7.5,4.17
136,"Teenage Mutant Ninja Turtles","NES","Platform",5.9,4.17
139,"Star Wars Battlefront (2015)","XOne","Shooter",6.9,4.15
140,"Madden NFL 2003","PS2","Sports",9.4,4.14
143,"FIFA 07 Soccer","PS2","Sports",8.4,4.11
144,"Batman: Arkham Knight","PS4","Action",8.1,4.11
145,"The Sims 4","PC","Simulation",7,4.1
146,"Fallout: New Vegas","X360","Role-Playing",8.2,4.08
147,"Carnival Games","Wii","Misc",4.2,4.06
148,"Far Cry 4","PS4","Shooter",8.4,4.06
150,"World Soccer Winning Eleven 9","PS2","Sports",8.9,4.06
151,"Forza Motorsport 2","X360","Racing",9.1,4.05
153,"Tekken Tag Tournament","PS2","Fighting",8.7,4.05
154,"Fallout 3","PS3","Role-Playing",8.8,4
155,"The Elder Scrolls V: Skyrim","PC","Role-Playing",9.2,3.99
156,"NBA 2K16","PS4","Sports",8.7,3.98
158,"Far Cry 5","PS4","Action",7.9,3.95
159,"Battlefield 4","PS4","Shooter",8.3,3.94
160,"Assassin's Creed IV: Black Flag","PS3","Action-Adventure",8.7,3.94
161,"Tony Hawk's Underground","PS2","Sports",8.7,3.9
162,"Just Dance 2014","Wii","Music",7.4,3.89
163,"Sports Champions","PS3","Sports",7.6,3.88
164,"World Soccer Winning Eleven 8 International","PS2","Sports",9.3,3.85
166,"LEGO Indiana Jones: The Original Adventures","X360","Adventure",7.5,3.76
167,"The Sims: Unleashed","PC","Simulation",7.3,3.76
168,"Ratchet & Clank: Size Matters","PSP","Platform",8.5,3.75
169,"FIFA 17","XOne","Sports",8.8,3.71
170,"FIFA Soccer 2005","PS2","Sports",8.4,3.7
171,"Tony Hawk's Pro Skater 4","PS2","Sports",9.6,3.67
172,"MySims","DS","Simulation",6.7,3.66
173,"Midnight Club 3: DUB Edition","PSP","Racing",7.2,3.66
174,"SOCOM: U.S. Navy SEALs","PS2","Shooter",8,3.65
175,"Battlefield 4","PS3","Shooter",8.7,3.64
176,"Jak and Daxter: The Precursor Legacy","PS2","Platform",9,3.64
177,"Pro Evolution Soccer 2008","PS2","Sports",8.2,3.63
178,"FIFA Soccer 10","PS3","Sports",9,3.63
179,"Guitar Hero: World Tour","Wii","Misc",8.4,3.62
180,"The Simpsons: Road Rage","PS2","Racing",6.1,3.61
181,"Star Wars Battlefront","PS2","Shooter",8.1,3.61
182,"Doom II","PC","Shooter",9.3,3.61
183,"Assassin's Creed Syndicate","PS4","Action",8.6,3.6
184,"Star Wars Battlefront II","PS2","Shooter",8.5,3.59
187,"Cooking Mama 2: Dinner With Friends","DS","Simulation",6.9,3.58
188,"The Getaway","PS2","Action",7.7,3.54
189,"Tomb Raider III: Adventures of Lara Croft","PS","Adventure",8.2,3.54
190,"Grand Theft Auto: Liberty City Stories","PS2","Action",8.3,3.54
191,"Battlefield 4","X360","Shooter",8.7,3.54
192,"Batman: Arkham Asylum","X360","Action",9.1,3.54
193,"Resident Evil 5","X360","Action",8.6,3.53
194,"Assassin's Creed: Brotherhood","X360","Action",9.1,3.53
195,"LEGO Star Wars: The Video Game","PS2","Action",7.9,3.53
198,"FIFA Soccer 11","X360","Sports",8.7,3.52
199,"NBA 2K17","PS4","Sports",9,3.52
201,"FIFA Soccer 2004","PS2","Sports",8,3.49
202,"Borderlands","X360","Shooter",8.3,3.48
203,"Battlefield: Bad Company 2","X360","Shooter",9,3.48
204,"Mario & Sonic at the Olympic Winter Games","DS","Sports",7.6,3.47
205,"Guitar Hero: On Tour","DS","Misc",7.1,3.46
206,"Tekken 4","PS2","Fighting",7.9,3.44
207,"LEGO Batman: The Videogame","X360","Adventure",7.5,3.44
208,"Halo: The Master Chief Collection","XOne","Shooter",8.8,3.44
209,"LittleBigPlanet 2","PS3","Platform",9.1,3.43
211,"Grand Theft Auto 2","PS","Action",6.9,3.42
212,"Destiny","XOne","Shooter",8.3,3.41
213,"Spider-Man 2","PS2","Action",7.9,3.41
215,"Crash Bash","PS","Misc",6.8,3.39
217,"The Elder Scrolls V: Skyrim Special Edition","PS4","Role-Playing",8.3,3.36
220,"Assassin's Creed IV: Black Flag","X360","Action-Adventure",8.5,3.34
221,"NBA 2K18","PS4","Sports",8.1,3.34
224,"Max Payne","PS2","Shooter",8.1,3.31
225,"Madden NFL 16","PS4","Sports",8.2,3.3
226,"The Lord of the Rings: The Return of the King","PS2","Action",8.4,3.28
227,"Madden NFL 17","PS4","Sports",8.5,3.28
231,"FIFA 16","XOne","Sports",8.5,3.25
232,"L.A. Noire","PS3","Adventure",9.1,3.21
233,"007: Tomorrow Never Dies","PS","Shooter",6.2,3.21
234,"WWF SmackDown! 2: Know Your Role","PS","Fighting",8.7,3.2
235,"Assassin's Creed IV: Black Flag","PS4","Action-Adventure",8.3,3.19
237,"Assassin's Creed Odyssey","PS4","Action-Adventure",9.5,3.18
238,"Fallout: New Vegas","PS3","Role-Playing",8.2,3.17
240,"Club Penguin: Elite Penguin Force","DS","Adventure",7,3.14
241,"FIFA 18","XOne","Sports",8,3.14
243,"The Elder Scrolls IV: Oblivion","PS3","Role-Playing",9.3,3.12
246,"Tom Clancy's Ghost Recon Wildlands","PS4","Shooter",7,3.12
248,"NBA 2K13","X360","Sports",8.6,3.11
249,"Mass Effect 2","X360","Role-Playing",9.5,3.1
250,"LEGO Batman: The Videogame","Wii","Adventure",7.3,3.08
252,"Saints Row 2","X360","Action",7.9,3.07
253,"Call of Duty: Ghosts","XOne","Shooter",7.5,3.07
256,"LEGO Batman: The Videogame","DS","Adventure",7.8,3.06
257,"Kung Fu Panda","X360","Platform",7.5,3.05
259,"Mass Effect 3","X360","Role-Playing",9.5,3.04
260,"Rayman","PS","Platform",7,3.03
261,"Tom Clancy's Splinter Cell","XB","Action",9.3,3.02
262,"WWE SmackDown! vs. Raw 2006","PS2","Fighting",8.4,3
267,"Battlefield: Bad Company 2","PS3","Shooter",8.9,2.96
268,"Street Fighter IV","X360","Fighting",9.3,2.95
271,"Madden NFL 13","X360","Sports",8,2.93
273,"FIFA 15","X360","Sports",6.9,2.91
274,"Mass Effect","X360","Role-Playing",9.2,2.91
275,"Mortal Kombat (2011)","PS3","Fighting",8.5,2.9
277,"Cooking Mama: Cook Off","Wii","Simulation",5.9,2.89
278,"Sega Superstars Tennis","X360","Sports",6.9,2.89
280,"Imagine: Babyz","DS","Simulation",3.5,2.87
281,"Colin McRae Rally","PS","Racing",7.9,2.87
282,"Mafia III","PS4","Action-Adventure",6.9,2.87
283,"The Elder Scrolls III: Morrowind","XB","Role-Playing",8.2,2.86
284,"Assassin's Creed: Brotherhood","PS3","Action",9.1,2.85
285,"Madden NFL 10","X360","Sports",8.6,2.83
286,"BioShock","X360","Shooter",9.6,2.83
290,"Finding Nemo","GBA","Platform",7,2.82
291,"Gran Turismo (PSP)","PSN","Racing",7.8,2.82
292,"Medal of Honor","PS3","Shooter",6.7,2.82
293,"Imagine: Fashion Designer","DS","Simulation",3,2.81
294,"Need for Speed: Hot Pursuit","PS3","Racing",8.9,2.81
295,"Killzone 3","PS3","Shooter",8.2,2.81
297,"Skylanders: Spyro's Adventure","Wii","Action",8,2.79
301,"A Bug's Life","PS","Platform",3.6,2.79
302,"Star Wars: The Force Unleashed","X360","Action",7.1,2.77
303,"Saints Row: The Third","X360","Action",8.3,2.77
305,"Battlefield 3","PC","Shooter",8.9,2.76
306,"Need for Speed: Most Wanted (2012)","PS3","Racing",8.5,2.74
307,"Far Cry: Primal","PS4","Action-Adventure",7.2,2.73
308,"L.A. Noire","X360","Adventure",9.1,2.73
309,"Overwatch","XOne","Shooter",8.7,2.72
310,"Need for Speed (2015)","PS4","Racing",7,2.72
312,"Skate 3","X360","Sports",8.3,2.71
313,"Madden NFL 13","PS3","Sports",8.3,2.71
